space_id,area_code,idle_space_cnt,culture_facility_cnt,welfare_facility_cnt,commercial_area_cnt,total_pop,youth_pop,elder_pop,avg_life_pop,avg_youth_life_pop,avg_elder_life_pop
1,1111051500,0,11,0,5,10876,2775,3024,16968.16245,4702.326344,3930.621754
2,1111053000,0,23,0,6,8898,2448,2633,29217.0714,8140.347944,7077.319073
3,1111054000,0,3,0,1,2114,489,798,4892.822608,1315.34711,1145.938797
4,1111055000,0,9,0,5,8926,2198,2743,11071.54196,2532.640437,2893.832265
5,1111056000,0,7,0,3,17071,3751,5519,18423.39623,3715.822265,5089.407695
6,1111057000,0,2,0,1,7691,1584,2206,4929.226566,981.2694624,1285.597715
7,1111058000,0,7,0,2,9438,2423,2382,10478.72929,2263.085591,2754.668582
8,1111060000,1,33,0,3,3620,834,1186,7828.876042,2147.315417,1807.710961
9,1111061500,0,45,1,11,6609,1924,2475,68208.47726,19724.34985,17420.79929
10,1111063000,0,4,3,9,5428,2159,1573,17173.0853,3996.364772,4917.130786
11,1111064000,0,32,1,3,7057,2820,2008,39936.4559,12699.33747,8827.345853
12,1111065000,0,23,0,5,15652,6252,3784,21377.71687,8123.581196,4398.568569
13,1111067000,0,3,0,11,4416,1117,1874,8324.466176,1800.586384,2395.240417
14,1111068000,0,1,0,2,7174,1661,2872,5822.173434,933.2336022,2025.379126
15,1111069000,0,0,0,1,6128,1607,2048,5068.378878,1048.097386,1543.607366
16,1111070000,0,0,0,1,5713,1475,1920,6295.366324,1262.570746,1854.546082
17,1111071000,0,3,1,5,10237,4558,2645,11396.11896,3344.594583,2836.714946
18,1114052000,0,17,0,7,2186,615,387,31636.69222,9464.734308,7817.097708
19,1114054000,0,3,0,7,4096,910,1718,30307.81568,7784.280027,7776.664819
20,1114055000,0,12,0,7,2462,611,953,44651.59719,13920.52206,10289.69384
21,1114057000,0,7,0,3,4301,1663,1215,13923.70745,4188.145995,3594.999388
22,1114058000,0,3,0,5,4529,1931,1212,10422.23339,3473.877164,2313.145336
23,1114059000,0,1,0,7,5684,2400,1632,19703.56001,5589.5192,4803.54664
24,1114060500,0,4,0,5,3000,1199,691,14292.11917,3852.902997,4128.073528
25,1114061500,0,6,0,9,7416,2563,2343,13892.29902,3553.791358,3740.657325
26,1114062500,0,1,1,5,13021,3962,4248,13797.5506,3303.049227,3388.030833
27,1114063500,0,2,1,2,15749,3884,5729,18607.20442,3698.716364,5130.851855
28,1114064500,0,0,1,1,10736,3102,3539,6120.048663,1465.426949,1581.653952
29,1114065000,0,0,0,2,9939,3159,2947,9738.525383,2153.401667,2619.153737
30,1114066500,1,1,0,1,9721,2274,3245,13269.00105,2706.261741,3739.931815
31,1114067000,0,1,0,5,13116,5347,3193,13795.84127,3838.43078,2940.401438
32,1114068000,0,6,0,2,11849,3318,3138,12747.50029,2862.250672,3268.912614
33,1117051000,0,8,1,4,15653,4855,4475,12791.87778,3070.621378,3114.238609
34,1117052000,0,2,0,2,8498,2877,2711,10714.33974,3191.171109,2068.58293
35,1117053000,0,1,0,4,6996,2153,2465,20826.87642,6411.051593,5089.039644
36,1117055500,0,1,1,4,18651,7463,4946,22077.51933,7148.858602,5038.858649
37,1117056000,1,2,0,3,17025,6961,3232,13928.62622,4376.337204,3095.177366
38,1117057000,0,1,1,1,13390,4159,3648,13534.03708,3384.62955,3377.727769
39,1117058000,0,8,0,2,10390,3468,2404,9684.069657,2515.457426,2314.296042
40,1117059000,0,0,1,3,11050,3453,3238,10339.67894,2356.468938,2658.624039
41,1117062500,0,7,2,7,20889,7821,4983,58051.11291,20931.79565,11562.9936
42,1117063000,0,0,1,3,24919,5419,6394,24012.23528,4485.502856,6557.147621
43,1117064000,0,1,1,1,7737,2066,2537,4512.516573,908.5600806,1064.488918
44,1117065000,0,4,1,6,5898,1902,1959,10278.25636,3914.563071,2117.406001
45,1117066000,0,1,0,2,8350,2780,2402,10586.0509,3067.466815,2213.748562
46,1117068500,0,16,1,8,13719,3823,3655,27707.30651,8026.689624,6167.743327
47,1117069000,0,2,0,3,12045,2853,3310,17197.91866,3855.585988,4503.173394
48,1117070000,0,1,0,4,6684,1762,2375,5520.060477,1127.831331,1597.878575
49,1120052000,0,0,1,2,15774,4938,4152,12012.49877,2947.589362,2918.766035
50,1120053500,0,0,3,3,25540,7967,6270,27066.67753,7264.252184,6705.251371
51,1120054000,0,0,1,6,21438,7454,6114,24611.68774,6926.363327,6120.689644
52,1120055000,0,2,1,3,11950,6575,2169,15352.53448,7663.324751,2633.836552
53,1120056000,0,1,0,4,15457,5086,3698,33380.556,9654.247856,7649.534677
54,1120057000,0,0,0,0,22412,5889,6028,20373.40823,4419.519321,5218.119772
55,1120058000,0,0,0,2,14433,3607,3677,12103.50655,2316.356109,3207.398185
56,1120059000,0,0,0,3,14277,3597,4093,13838.77177,2707.816169,3396.841405
57,1120061500,1,1,2,4,20566,5825,5714,20979.32819,4383.419718,5209.185712
58,1120062000,0,0,0,3,13869,3562,3818,14568.98978,2716.99416,3699.723017
59,1120064500,0,2,1,3,25080,6735,6533,20274.55882,4091.122043,4812.512534
60,1120065000,0,3,0,4,14906,4834,4061,20528.1879,5920.714792,4991.478548
61,1120066000,0,3,1,5,13548,4599,3382,21211.8952,6959.662594,4532.487077
