idle_id,area_code,facility_name,address,facility_size,latitude,longtitude,area_name
1,1168075000,유휴공간1,서울특별시 강남구 수서동 448-12,220,37.48556764,127.0998163,수서동
2,1168070000,유휴공간2,서울특별시 강남구 율현동 250-2,32,37.47295038,127.1059944,세곡동
3,1168070000,유휴공간3,서울특별시 강남구 자곡동 440-91,186,37.47474642,127.0988685,세곡동
4,1130561500,유휴공간4,서울특별시 강북구 수유동 486-1291,46,37.62945755,127.0129629,수유1동
5,1150063000,유휴공간5,서울특별시 강서구 방화동 257-20,1,37.57090433,126.8164451,방화1동
6,1162057500,유휴공간6,서울특별시 관악구 봉천동 1692-19,173.5,37.47555976,126.970087,행운동
7,1162071500,유휴공간7,서울특별시 관악구 신림동 667-29,81,37.46257699,126.9187192,난향동
8,1121586000,유휴공간8,서울특별시 광진구 구의동 613-3,69,37.54927849,127.086178,구의2동
9,1121578000,유휴공간9,서울특별시 광진구 능동 175-2,76,37.55285361,127.0812772,능동
10,1153053000,유휴공간10,서울특별시 구로구 구로동 390-116,5,37.48829038,126.8807371,구로2동
11,1153053000,유휴공간11,서울특별시 구로구 구로동 394-58,53,37.49068842,126.8803834,구로2동
12,1153053000,유휴공간12,서울특별시 구로구 구로동 399-16,23,37.49107562,126.8803342,구로2동
13,1153053000,유휴공간13,서울특별시 구로구 구로동 414-11,2,37.49263117,126.882537,구로2동
14,1153053000,유휴공간14,서울특별시 구로구 구로동 465-4,34,37.49562946,126.8812015,구로2동
15,1153053000,유휴공간15,서울특별시 구로구 구로동 512-29,13,37.4979966,126.885224,구로2동
16,1153053000,유휴공간16,서울특별시 구로구 구로동 512-31,6,37.49799234,126.885198,구로2동
17,1153056000,유휴공간17,서울특별시 구로구 구로동 563-25,34,37.50261092,126.8839335,구로5동
18,1153052000,유휴공간18,서울특별시 구로구 구로동 701-111,35,37.48709667,126.8770802,구로1동
19,1153077000,유휴공간19,서울특별시 구로구 오류동 9-175,37,37.49637576,126.8402326,오류1동
20,1135066500,유휴공간20,서울특별시 노원구 상계동 107-487,12,37.66647814,127.0802454,상계3.4동
21,1123074000,유휴공간21,서울특별시 동대문구 이문동 264-438,56,37.60013762,127.0544632,이문1동
22,1123056000,유휴공간22,서울특별시 동대문구 전농동 128-136,28.6,37.58124386,127.0509317,전농1동
23,1159052000,유휴공간23,서울특별시 동작구 노량진동 44-23,6,37.51334987,126.9398138,노량진2동
24,1159053000,유휴공간24,서울특별시 동작구 상도1동 323-7,9,37.50233527,126.9533702,상도1동
25,1159056000,유휴공간25,서울특별시 동작구 상도동 279-494,33,37.49625815,126.9363458,상도4동
26,1159054000,유휴공간26,서울특별시 동작구 상도동 368-6,1,37.50444894,126.9389426,상도2동
27,1144060000,유휴공간27,서울특별시 마포구 대흥동 442-0,1,37.54580538,126.9436193,대흥동
28,1144059000,유휴공간28,서울특별시 마포구 대흥동 463-2,1,37.54534757,126.9439753,용강동
29,1144065500,유휴공간29,서울특별시 마포구 상수동 357-3,27,37.54489026,126.9244686,서강동
30,1144063000,유휴공간30,서울특별시 마포구 신수동 448-19,1,37.544057,126.936204,신수동
31,1144068000,유휴공간31,서울특별시 마포구 합정동 378-21,81.3,37.54739048,126.9121601,합정동
32,1141061500,유휴공간32,서울특별시 서대문구 연희동 143-16,74,37.57716101,126.9354546,연희동
33,1141066000,유휴공간33,서울특별시 서대문구 홍은동 10-267,13,37.6021796,126.9468637,홍은1동
34,1141068500,유휴공간34,서울특별시 서대문구 홍은동 산 11-163,51,37.59495855,126.939453,홍은2동
35,1120061500,유휴공간35,서울특별시 성동구 금호동3가 1329-0,14.2,37.54900945,127.0184467,금호2.3가동
36,1129060000,유휴공간36,서울특별시 성북구 안암동5가 산 1-41,360,37.59356557,127.0268361,안암동
37,1129076000,유휴공간37,서울특별시 성북구 장위동 219-13,23,37.61868062,127.0450228,장위1동
38,1129063000,유휴공간38,서울특별시 성북구 정릉동 381-1,57,37.60655109,127.0064593,정릉2동
39,1129063000,유휴공간39,서울특별시 성북구 정릉동 559-142,132,37.60005648,127.0092653,정릉2동
40,1129064000,유휴공간40,서울특별시 성북구 정릉동 649-13,84,37.60718157,127.0026812,정릉3동
41,1129064000,유휴공간41,서울특별시 성북구 정릉동 865-1,116,37.60962131,126.9957358,정릉3동
42,1129072500,유휴공간42,서울특별시 성북구 하월곡동 1-11,31,37.60530054,127.046956,월곡2동
43,1129071500,유휴공간43,서울특별시 성북구 하월곡동 73-64,377,37.60762387,127.041843,월곡1동
44,1156058500,유휴공간44,서울특별시 영등포구 도림동 155-20,21,37.50812696,126.9006324,도림동
45,1156053500,유휴공간45,서울특별시 영등포구 영등포동7가 29-152,2,37.52551934,126.9073387,영등포동
46,1117056000,유휴공간46,서울특별시 용산구 원효로2가 85-15,18.8,37.53568269,126.9620132,원효로1동
47,1111060000,유휴공간47,서울특별시 종로구 재동 83-6,25.3,37.57738873,126.9851038,가회동
48,1114066500,유휴공간48,서울특별시 중구 신당동 281-12,38,37.56197463,127.0178533,동화동
49,1126068000,유휴공간49,서울특별시 중랑구 신내동 70-7,22,37.61506557,127.1030604,신내1동
