행정동코드,유휴공간수,문화시설수,복지시설수,상권수,총인구,청년인구,노인인구,평균생활인구,평균청년생활인구,평균노인생활인구
1111051500,0,11,0,5,10876.0,2775.0,3024.0,16968.16245295696,4702.326344086026,3930.621754032254
1111053000,0,23,0,6,8898.0,2448.0,2633.0,29217.071404569884,8140.347943548383,7077.319072580631
1111054000,0,3,0,1,2114.0,489.0,798.0,4892.822607526889,1315.3471102150538,1145.9387970430107
1111055000,0,9,0,5,8926.0,2198.0,2743.0,11071.541962365582,2532.640436827953,2893.832264784945
1111056000,0,7,0,3,17071.0,3751.0,5519.0,18423.39622983871,3715.8222647849416,5089.407694892475
1111057000,0,2,0,1,7691.0,1584.0,2206.0,4929.226565860216,981.2694623655935,1285.5977150537635
1111058000,0,7,0,2,9438.0,2423.0,2382.0,10478.729287634405,2263.0855913978494,2754.6685819892464
1111060000,1,33,0,3,3620.0,834.0,1186.0,7828.876041666664,2147.3154166666695,1807.7109610215048
1111061500,0,45,1,11,6609.0,1924.0,2475.0,68208.47726478484,19724.34985215054,17420.799294354867
1111063000,0,4,3,9,5428.0,2159.0,1573.0,17173.085295698922,3996.3647715053717,4917.130786290329
1111064000,0,32,1,3,7057.0,2820.0,2008.0,39936.45590053763,12699.33747311827,8827.345853494618
1111065000,0,23,0,5,15652.0,6252.0,3784.0,21377.7168682796,8123.581196236554,4398.568568548389
1111067000,0,3,0,11,4416.0,1117.0,1874.0,8324.466176075275,1800.5863844086032,2395.2404166666674
1111068000,0,1,0,2,7174.0,1661.0,2872.0,5822.173434139786,933.2336021505384,2025.3791263440892
1111069000,0,0,0,1,6128.0,1607.0,2048.0,5068.378877688165,1048.0973857526878,1543.6073655913976
1111070000,0,0,0,1,5713.0,1475.0,1920.0,6295.366323924729,1262.5707459677417,1854.5460819892476
1111071000,0,3,1,5,10237.0,4558.0,2645.0,11396.118958333305,3344.594583333333,2836.7149462365596
1114052000,0,17,0,7,2186.0,615.0,387.0,31636.692224462295,9464.734307795676,7817.09770833333
1114054000,0,3,0,7,4096.0,910.0,1718.0,30307.815678763473,7784.2800268817255,7776.6648185483855
1114055000,0,12,0,7,2462.0,611.0,953.0,44651.597190860186,13920.522056451608,10289.69384408601
1114057000,0,7,0,3,4301.0,1663.0,1215.0,13923.70744623653,4188.145994623663,3594.9993884408577
1114058000,0,3,0,5,4529.0,1931.0,1212.0,10422.233393817218,3473.8771639784877,2313.145336021503
1114059000,0,1,0,7,5684.0,2400.0,1632.0,19703.56001344084,5589.519200268807,4803.546639784948
